Advantages and disadvantages of CPP accounting,不变购买力会计的利弊
Advantages and disadvantages of current cost accounting,现行成本会计的利弊
Advantages of cash flow accounting    ,现金流量会计的优势
Advantages of historical cost accounting,历史成本会计的优势
Amortised cost of a financial asset or financial liability,金融资产或金融负债的摊销成本
Conceptual Framework for Financial Reporting,《财务报告的概念框架》
Consolidated statement of profit or loss        ,合并损益表
Consolidated statement of profit or loss and other comprehensive income,合并损益和其他全面收益表
Contracts where performance obligations are satisfied over time,按时间段履约的合同
Current purchasing power (CPP) accounting,现行购买力（CPP）会计
Deferred tax assets Deferred tax liabilities,递延税项资产递延税项负债
Dilutive potential ordinary shares Direct method,稀释性潜在普通股直接法
Disadvantages of historical cost accounting ,历史成本会计的不足
Disclosure of financial instruments            ,金融工具的披露
Dividend per share and dividend cover,每股股利和股利保证倍数
Dividends paid by a subsidiary,子公司支付的股利
Events occurring after the reporting period,期后事件
Exclusion of a subsidiary from consolidation ,合并时剔除子公司 
Exemption from preparing group accounts,编制集团报表的豁免
Fair value Fair value adjustment,公允价值公允价值调整
Fair value through profit or loss,以公允价值计量且其变动计入当期损益
Financial asset or liability at fair value through profit or loss,以公允价值且其变动计入当期损益的金融资产或负债
Financial capital maintenance,金融资产保全
Financial concept of capital,金融资本概念
IAS  Presentation of financial statements IAS  Inventories,《国际会计准则——财务报表的列报》《国际会计准则——存货》
IAS  Accounting policieschanges in accounting,《国际会计准则——会计政策变更》
IAS  Events after the reporting period IAS  Income taxes,《国际会计准则——期后事件》《国际会计准则——所得税》
IAS  Propertyplant and equipment IAS  Leases,《国际会计准则——物业、厂房及设备》《国际会计准则——租赁》
IAS  Accounting for government grants and,《国际会计准则——政府补助及
disclosure of government assistance IAS  Borrowing costs,政府支持的披露》《国际会计准则——借款成本》
IAS  Provisionscontingent liabilities and contingent assets,《国际会计准则——预计负债、或有负债和或有资产》
IFRS  Non-current assets held for sale and,《国际财务报告准则——持有待售的非流动资产及
IFRS  Revenue from contracts with customers,《国际财务报告准则——来自客户合同的收入》
Implications of high or low gearing,高低杠杆的影响
Interest rate implicit in the lease Interest received,租赁的隐含利率已收利息
Internally generated intangible assets             International Public Sector Accounting Standards,内部产生的无形资产《国际公共部门会计准则》
International Public Sector Accounting Standards Board,国际公共部门会计准则理事会
Interpretation of statements of cash flows Intra-group dividends,现金流量表的解释集团内股利
Intra-group sales of non-current assets,集团内非流动资产的出售
 Non-controlling interest at fair value Non-current assets,按公允价值计量的非控股权益 非流动资产
Notes to the financial statements         ,财务报表附注         
Not-for-profit and public sector entities, 非牟利及公营实体
Optionswarrants and their equivalents ,期权、认股权证及其等价物
PBITprofit before interest and tax Performance obligation,息税前利润履约义务
Performance obligation satisfied over time,时间段履约义务
Performance obligations satisfied at a point in time,时间点履约义务
Permanent and temporary differences,永久性和暂时性差异
Problems of historical cost information Profit,历史成本信息的问题利润
Recover or settle the carrying amount ,收回或结算账面金额 
Relationships between profit and cash,利润与现金之间的关系 
Research and development (R&D) costs,研发成本
Sale and leaseback transactions,售后租回交易
Share split/reverse share split,股份分割/反向股份分割
Statement of financial position,财务状况表
Statement of profit or loss and other comprehensive income,损益和其他全面收益表
Sufficient future taxable profits,充足的未来应税利润
Value to the business (deprival value) ,对企业的价值（剩余价值） 
